                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.5608,                  1.003,                 1.0243,                0.78048,                 0.7031,                0.76381,                0.37146,                 1.7291,                 1.0327,                 1.1114,              0.0087724,              0.0087724,              0.0087724
                    127,                 1.5733,                 1.0157,                 1.0254,                0.78363,                0.70351,                0.76551,                 0.3715,                 1.7284,                 1.0316,                 1.1115,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.5577,                 1.0083,                 1.0196,                0.78673,                0.70098,                0.76538,                0.37103,                 1.7293,                 1.0306,                 1.1116,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.5606,                 1.0022,                 1.0225,                 0.7849,                0.70552,                 0.7654,                0.37055,                 1.7288,                 1.0296,                 1.1115,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.5573,                0.99716,                 1.0189,                0.78541,                0.70508,                0.76535,                0.37073,                 1.7285,                 1.0282,                 1.1117,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.5515,                0.99273,                 1.0207,                0.79442,                0.69587,                  0.766,                0.37063,                 1.7288,                 1.0262,                 1.1116,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.5633,                 1.0068,                 1.0233,                0.79471,                0.69374,                0.76444,                0.37072,                 1.7283,                 1.0239,                 1.1117,               0.008713,               0.008713,               0.008713
                    133,                 1.5466,                0.99187,                 1.0177,                0.79514,                0.69746,                 0.7652,                0.37272,                 1.7283,                 1.0235,                 1.1121,              0.0087031,              0.0087031,              0.0087031
                    134,                  1.552,                 1.0025,                 1.0168,                0.79659,                0.69612,                0.76519,                0.37244,                 1.7279,                 1.0219,                 1.1122,              0.0086932,              0.0086932,              0.0086932
                    135,                  1.548,                0.99415,                 1.0189,                0.79701,                0.69547,                0.76531,                0.37294,                 1.7284,                 1.0202,                 1.1124,              0.0086833,              0.0086833,              0.0086833
                    136,                 1.5372,                0.97762,                 1.0162,                0.80553,                0.69041,                0.76613,                0.37381,                 1.7282,                  1.018,                 1.1128,              0.0086734,              0.0086734,              0.0086734
                    137,                 1.5325,                0.97953,                 1.0148,                0.80662,                0.69104,                 0.7665,                0.37419,                 1.7277,                 1.0169,                 1.1128,              0.0086635,              0.0086635,              0.0086635
                    138,                 1.5412,                0.99541,                 1.0185,                0.80081,                0.69476,                0.76701,                  0.373,                 1.7278,                 1.0152,                  1.113,              0.0086536,              0.0086536,              0.0086536
                    139,                 1.5407,                0.99081,                 1.0151,                0.81494,                0.68674,                0.76434,                0.37292,                 1.7278,                 1.0133,                 1.1133,              0.0086437,              0.0086437,              0.0086437
                    140,                 1.5418,                0.98662,                 1.0165,                0.82037,                0.68453,                0.76554,                0.37207,                 1.7282,                  1.013,                 1.1135,              0.0086338,              0.0086338,              0.0086338
                    141,                 1.5335,                0.98205,                 1.0149,                 0.8203,                0.68706,                0.76668,                0.37261,                 1.7282,                 1.0128,                 1.1134,              0.0086239,              0.0086239,              0.0086239
                    142,                 1.5305,                0.97486,                 1.0142,                0.81645,                0.68901,                0.76686,                 0.3724,                 1.7289,                 1.0103,                 1.1136,               0.008614,               0.008614,               0.008614
                    143,                 1.5321,                0.97538,                 1.0111,                0.81656,                0.68706,                0.76494,                0.37114,                 1.7283,                 1.0089,                 1.1138,              0.0086041,              0.0086041,              0.0086041
                    144,                 1.5256,                0.97274,                 1.0155,                0.81667,                0.68672,                0.76344,                0.37191,                 1.7285,                 1.0072,                 1.1139,              0.0085942,              0.0085942,              0.0085942
                    145,                 1.5262,                0.97231,                 1.0124,                0.81969,                0.68842,                0.76578,                0.37149,                 1.7282,                 1.0074,                  1.114,              0.0085843,              0.0085843,              0.0085843
                    146,                  1.526,                0.96843,                 1.0135,                0.82067,                0.68226,                0.76415,                0.37179,                 1.7284,                 1.0064,                 1.1141,              0.0085744,              0.0085744,              0.0085744
